id_vente,date_vente,produit,quantite,prix_unitaire,total_vente,categorie,vendeur
V00035,2025-08-09,Clavier mécanique Redragon,15,60,900,Accessoires,Barry Fatou
V00036,2025-05-24,Haut-parleur JBL Go 3,17,40,680,Audio,Bah Mariama
V00037,2025-05-20,Clavier mécanique Redragon,12,60,720,Accessoires,Barry Fatou
V00038,2025-07-05,Câble HDMI 2m,13,5,65,Accessoires,Camara Ousmane
V00039,2025-06-03,Ordinateur Lenovo ThinkPad,14,970,13580,Informatique,Barry Fatou
V00040,2025-01-03,Clavier mécanique Redragon,15,60,900,Accessoires,Bah Mariama
V00041,2025-11-01,Écran Dell 24’’,12,190,2280,Informatique,Barry Fatou
V00042,2025-07-25,Clé USB 32 Go SanDisk,7,8,56,Accessoires,Barry Fatou
V00043,2025-08-12,Casque Sony WH-CH510,9,55,495,Audio,Bah Mariama
V00044,2025-04-08,Ordinateur Portable HP,11,750,8250,Informatique,Bah Mariama
V00045,2025-03-02,Disque Dur Externe 1To,10,75,750,Stockage,Camara Ousmane
V00046,2025-07-15,Imprimante Epson EcoTank,13,160,2080,Informatique,Bah Mariama
V00047,2025-07-06,Casque Sony WH-CH510,9,55,495,Audio,Sow Mamadou
V00048,2025-03-11,Écran Dell 24’’,11,190,2090,Informatique,Camara Ousmane
V00049,2025-04-24,Téléphone iPhone 13,12,950,11400,Téléphonie,Camara Ousmane
V00050,2025-03-06,Clé USB 64 Go Kingston,19,12,228,Accessoires,Sow Mamadou
V00051,2025-10-16,Clé USB 32 Go SanDisk,5,8,40,Accessoires,Camara Ousmane
V00052,2025-07-20,Imprimante Canon Pixma,7,120,840,Informatique,Bah Mariama
V00053,2025-05-05,Clé USB 64 Go Kingston,20,12,240,Accessoires,Camara Ousmane
V00054,2025-01-13,Ordinateur Portable HP,12,750,9000,Informatique,Bah Mariama
V00055,2025-02-17,Écran Dell 24’’,2,190,380,Informatique,Diallo Ibrahima
V00056,2025-07-22,Clé USB 64 Go Kingston,16,12,192,Accessoires,Camara Ousmane
V00057,2025-08-04,Casque Sony WH-CH510,12,55,660,Audio,Camara Ousmane
V00058,2025-08-11,Clé USB 64 Go Kingston,2,12,24,Accessoires,Diallo Ibrahima
V00059,2025-04-28,Souris Gamer Logitech G502,19,60,1140,Accessoires,Barry Fatou
V00060,2025-08-23,Téléphone iPhone 13,3,950,2850,Téléphonie,Camara Ousmane
V00061,2025-09-28,Clavier mécanique Redragon,18,60,1080,Accessoires,Camara Ousmane
V00062,2025-04-09,Ordinateur Portable Dell,7,880,6160,Informatique,Diallo Ibrahima
V00063,2025-06-21,Imprimante Canon Pixma,15,120,1800,Informatique,Bah Mariama
V00064,2025-05-24,Câble HDMI 2m,11,5,55,Accessoires,Diallo Ibrahima
V00065,2025-02-03,Imprimante Canon Pixma,20,120,2400,Informatique,Barry Fatou
V00066,2025-04-23,Ordinateur Portable HP,7,750,5250,Informatique,Barry Fatou
V00067,2025-03-13,Clavier mécanique Redragon,20,60,1200,Accessoires,Sow Mamadou
V00068,2025-03-03,Disque SSD 512 Go,9,120,1080,Stockage,Sow Mamadou
V00069,2025-05-26,Téléphone iPhone 13,3,950,2850,Téléphonie,Diallo Ibrahima
V00070,2025-10-30,Câble HDMI 2m,11,5,55,Accessoires,Barry Fatou
V00071,2025-05-30,Casque Bluetooth JBL,15,45,675,Audio,Camara Ousmane
V00072,2025-10-22,Téléphone Samsung A15,16,210,3360,Téléphonie,Bah Mariama
V00073,2025-09-15,Clé USB 64 Go Kingston,11,12,132,Accessoires,Sow Mamadou
V00074,2025-06-13,Clé USB 64 Go Kingston,18,12,216,Accessoires,Barry Fatou
V00075,2025-02-12,Câble HDMI 2m,8,5,40,Accessoires,Sow Mamadou
V00076,2025-02-27,Casque Bluetooth JBL,12,45,540,Audio,Sow Mamadou
V00077,2025-06-04,Disque Dur Externe 1To,17,75,1275,Stockage,Camara Ousmane
V00078,2025-10-14,Haut-parleur Bluetooth,2,30,60,Audio,Barry Fatou
V00079,2025-09-01,Ordinateur Portable HP,7,750,5250,Informatique,Bah Mariama
V00080,2025-09-27,Écran Dell 24’’,4,190,760,Informatique,Barry Fatou
V00081,2025-02-14,Écran Dell 24’’,5,190,950,Informatique,Sow Mamadou
V00082,2025-02-11,Souris Gamer Logitech G502,15,60,900,Accessoires,Bah Mariama
V00083,2025-09-15,Souris Logitech M185,3,15,45,Accessoires,Sow Mamadou
V00084,2025-08-04,Câble HDMI 2m,5,5,25,Accessoires,Diallo Ibrahima
V00085,2025-07-03,Ordinateur Portable HP,7,750,5250,Informatique,Diallo Ibrahima
V00086,2025-08-04,Clé USB 32 Go SanDisk,9,8,72,Accessoires,Camara Ousmane
V00087,2025-07-10,Disque SSD 512 Go,19,120,2280,Stockage,Bah Mariama
V00088,2025-02-13,Imprimante Epson EcoTank,5,160,800,Informatique,Diallo Ibrahima
V00089,2025-02-12,Haut-parleur Bluetooth,18,30,540,Audio,Sow Mamadou
V00090,2025-06-11,Imprimante Epson EcoTank,15,160,2400,Informatique,Diallo Ibrahima
V00091,2025-06-29,Haut-parleur Bluetooth,18,30,540,Audio,Barry Fatou
V00092,2025-08-17,Haut-parleur Bluetooth,20,30,600,Audio,Camara Ousmane
V00093,2025-03-09,Ordinateur Portable HP,6,750,4500,Informatique,Barry Fatou
V00094,2025-09-09,Souris Gamer Logitech G502,9,60,540,Accessoires,Barry Fatou
V00095,2025-05-09,Clé USB 32 Go SanDisk,2,8,16,Accessoires,Camara Ousmane
V00096,2025-07-26,Imprimante Canon Pixma,10,120,1200,Informatique,Bah Mariama
V00097,2025-05-06,Haut-parleur JBL Go 3,14,40,560,Audio,Barry Fatou
V00098,2025-04-26,Haut-parleur Bluetooth,9,30,270,Audio,Diallo Ibrahima
V00099,2025-10-26,Casque Bluetooth JBL,3,45,135,Audio,Bah Mariama
V00100,2025-10-27,Imprimante Epson EcoTank,7,160,1120,Informatique,Barry Fatou
V00101,2025-06-05,Ordinateur Portable Dell,19,880,16720,Informatique,Bah Mariama
V00102,2025-10-28,Ordinateur Portable Dell,10,880,8800,Informatique,Sow Mamadou
V00103,2025-08-31,Téléphone iPhone 13,5,950,4750,Téléphonie,Sow Mamadou
V00104,2025-08-18,Imprimante Epson EcoTank,19,160,3040,Informatique,Barry Fatou
V00105,2025-05-08,Disque SSD 512 Go,5,120,600,Stockage,Barry Fatou
V00106,2025-03-22,Haut-parleur JBL Go 3,16,40,640,Audio,Camara Ousmane
V00107,2025-05-12,Imprimante Canon Pixma,13,120,1560,Informatique,Diallo Ibrahima
V00108,2025-09-10,Câble HDMI 2m,5,5,25,Accessoires,Barry Fatou
V00109,2025-09-09,Haut-parleur JBL Go 3,10,40,400,Audio,Sow Mamadou
V00110,2025-07-09,Clavier mécanique Redragon,2,60,120,Accessoires,Barry Fatou
V00111,2025-10-22,Imprimante Epson EcoTank,17,160,2720,Informatique,Barry Fatou
V00112,2025-06-16,Ordinateur Lenovo ThinkPad,14,970,13580,Informatique,Bah Mariama
V00113,2025-07-25,Clé USB 32 Go SanDisk,2,8,16,Accessoires,Bah Mariama
V00114,2025-04-06,Téléphone iPhone 13,9,950,8550,Téléphonie,Camara Ousmane
V00115,2025-09-10,Haut-parleur JBL Go 3,13,40,520,Audio,Diallo Ibrahima
V00116,2025-02-07,Clé USB 64 Go Kingston,13,12,156,Accessoires,Sow Mamadou
V00117,2025-09-06,Casque Bluetooth JBL,17,45,765,Audio,Barry Fatou
V00118,2025-04-25,Imprimante Canon Pixma,18,120,2160,Informatique,Camara Ousmane
V00119,2025-09-22,Haut-parleur Bluetooth,20,30,600,Audio,Sow Mamadou
V00120,2025-06-16,Clavier mécanique Redragon,5,60,300,Accessoires,Diallo Ibrahima
V00121,2025-11-05,Disque SSD 512 Go,7,120,840,Stockage,Bah Mariama
V00122,2025-03-08,Clavier mécanique Redragon,4,60,240,Accessoires,Bah Mariama
V00123,2025-08-11,Haut-parleur Bluetooth,19,30,570,Audio,Camara Ousmane
V00124,2025-03-28,Clé USB 32 Go SanDisk,9,8,72,Accessoires,Sow Mamadou
V00125,2025-04-15,Souris Logitech M185,7,15,105,Accessoires,Diallo Ibrahima
V00126,2025-09-19,Téléphone Samsung A15,8,210,1680,Téléphonie,Barry Fatou
V00127,2025-09-26,Souris Logitech M185,3,15,45,Accessoires,Barry Fatou
V00128,2025-10-27,Imprimante Canon Pixma,6,120,720,Informatique,Diallo Ibrahima
V00129,2025-10-16,Imprimante Canon Pixma,9,120,1080,Informatique,Bah Mariama
V00130,2025-03-01,Casque Sony WH-CH510,15,55,825,Audio,Diallo Ibrahima
V00131,2025-09-20,Ordinateur Portable Dell,5,880,4400,Informatique,Camara Ousmane
V00132,2025-03-08,Ordinateur Portable Dell,8,880,7040,Informatique,Barry Fatou
V00133,2025-08-07,Haut-parleur Bluetooth,17,30,510,Audio,Barry Fatou
V00134,2025-06-03,Clé USB 64 Go Kingston,6,12,72,Accessoires,Barry Fatou
V00135,2025-10-08,Souris Gamer Logitech G502,6,60,360,Accessoires,Camara Ousmane
V00136,2025-03-27,Imprimante Epson EcoTank,5,160,800,Informatique,Barry Fatou
V00137,2025-06-08,Clé USB 64 Go Kingston,9,12,108,Accessoires,Camara Ousmane
V00138,2025-01-08,Casque Bluetooth JBL,5,45,225,Audio,Diallo Ibrahima
V00139,2025-04-25,Clé USB 64 Go Kingston,17,12,204,Accessoires,Camara Ousmane
V00140,2025-08-13,Imprimante Canon Pixma,20,120,2400,Informatique,Diallo Ibrahima
V00141,2025-08-12,Imprimante Epson EcoTank,18,160,2880,Informatique,Diallo Ibrahima
V00142,2025-03-04,Casque Bluetooth JBL,17,45,765,Audio,Camara Ousmane
V00143,2025-10-05,Clé USB 64 Go Kingston,19,12,228,Accessoires,Bah Mariama
V00144,2025-06-09,Imprimante Epson EcoTank,12,160,1920,Informatique,Diallo Ibrahima
V00145,2025-06-04,Écran Dell 24’’,8,190,1520,Informatique,Sow Mamadou
V00146,2025-09-15,Ordinateur Lenovo ThinkPad,13,970,12610,Informatique,Barry Fatou
V00147,2025-08-16,Clavier mécanique Redragon,1,60,60,Accessoires,Camara Ousmane
V00148,2025-02-11,Haut-parleur JBL Go 3,8,40,320,Audio,Sow Mamadou
V00149,2025-03-22,Téléphone iPhone 13,16,950,15200,Téléphonie,Diallo Ibrahima
V00150,2025-08-15,Écran Dell 24’’,4,190,760,Informatique,Barry Fatou
V00151,2025-08-29,Imprimante Canon Pixma,10,120,1200,Informatique,Barry Fatou
V00152,2025-05-13,Ordinateur Lenovo ThinkPad,19,970,18430,Informatique,Barry Fatou
V00153,2025-09-11,Ordinateur Lenovo ThinkPad,9,970,8730,Informatique,Barry Fatou
V00154,2025-10-17,Ordinateur Portable HP,10,750,7500,Informatique,Camara Ousmane
V00155,2025-07-05,Casque Sony WH-CH510,5,55,275,Audio,Camara Ousmane
V00156,2025-04-10,Clé USB 64 Go Kingston,20,12,240,Accessoires,Diallo Ibrahima
V00157,2025-11-07,Imprimante Epson EcoTank,14,160,2240,Informatique,Diallo Ibrahima
V00158,2025-04-05,Clé USB 64 Go Kingston,17,12,204,Accessoires,Bah Mariama
V00159,2025-07-21,Téléphone iPhone 13,10,950,9500,Téléphonie,Barry Fatou
V00160,2025-05-28,Imprimante Canon Pixma,18,120,2160,Informatique,Camara Ousmane
V00161,2025-05-29,Câble HDMI 2m,11,5,55,Accessoires,Barry Fatou
V00162,2025-09-14,Imprimante Epson EcoTank,7,160,1120,Informatique,Barry Fatou
V00163,2025-03-24,Disque Dur Externe 1To,9,75,675,Stockage,Diallo Ibrahima
V00164,2025-06-14,Disque SSD 512 Go,3,120,360,Stockage,Camara Ousmane
V00165,2025-01-26,Téléphone Samsung A15,1,210,210,Téléphonie,Sow Mamadou
V00166,2025-03-01,Téléphone iPhone 13,3,950,2850,Téléphonie,Diallo Ibrahima
V00167,2025-01-29,Clé USB 32 Go SanDisk,3,8,24,Accessoires,Sow Mamadou
V00168,2025-07-11,Téléphone iPhone 13,18,950,17100,Téléphonie,Barry Fatou
V00169,2025-08-11,Haut-parleur Bluetooth,10,30,300,Audio,Diallo Ibrahima
V00170,2025-04-21,Téléphone iPhone 13,1,950,950,Téléphonie,Camara Ousmane
V00171,2025-07-15,Haut-parleur JBL Go 3,1,40,40,Audio,Barry Fatou
V00172,2025-04-23,Téléphone iPhone 13,6,950,5700,Téléphonie,Barry Fatou
V00173,2025-09-01,Souris Logitech M185,7,15,105,Accessoires,Sow Mamadou
V00174,2025-03-23,Haut-parleur Bluetooth,6,30,180,Audio,Sow Mamadou
V00175,2025-05-16,Souris Logitech M185,18,15,270,Accessoires,Diallo Ibrahima
V00176,2025-08-07,Casque Bluetooth JBL,10,45,450,Audio,Barry Fatou
V00177,2025-08-09,Casque Sony WH-CH510,16,55,880,Audio,Diallo Ibrahima
V00178,2025-03-27,Disque Dur Externe 1To,6,75,450,Stockage,Bah Mariama
V00179,2025-10-31,Ordinateur Portable Dell,13,880,11440,Informatique,Diallo Ibrahima
V00180,2025-07-01,Haut-parleur JBL Go 3,3,40,120,Audio,Barry Fatou
V00181,2025-02-11,Haut-parleur Bluetooth,4,30,120,Audio,Bah Mariama
V00182,2025-07-05,Ordinateur Portable HP,11,750,8250,Informatique,Barry Fatou
V00183,2025-10-16,Souris Logitech M185,4,15,60,Accessoires,Sow Mamadou
V00184,2025-04-12,Casque Sony WH-CH510,5,55,275,Audio,Barry Fatou
V00185,2025-06-06,Câble HDMI 2m,2,5,10,Accessoires,Camara Ousmane
V00186,2025-03-18,Haut-parleur Bluetooth,8,30,240,Audio,Sow Mamadou
V00187,2025-03-22,Disque Dur Externe 1To,3,75,225,Stockage,Barry Fatou
V00188,2025-05-21,Clé USB 32 Go SanDisk,5,8,40,Accessoires,Camara Ousmane
V00189,2025-01-12,Haut-parleur JBL Go 3,19,40,760,Audio,Diallo Ibrahima
V00190,2025-02-26,Haut-parleur Bluetooth,8,30,240,Audio,Barry Fatou
V00191,2025-07-08,Clé USB 64 Go Kingston,16,12,192,Accessoires,Camara Ousmane
V00192,2025-03-17,Ordinateur Lenovo ThinkPad,20,970,19400,Informatique,Diallo Ibrahima
V00193,2025-01-10,Clé USB 64 Go Kingston,19,12,228,Accessoires,Camara Ousmane
V00194,2025-05-03,Téléphone Samsung A15,1,210,210,Téléphonie,Bah Mariama
V00195,2025-10-11,Disque Dur Externe 1To,18,75,1350,Stockage,Sow Mamadou
V00196,2025-01-25,Imprimante Epson EcoTank,2,160,320,Informatique,Camara Ousmane
V00197,2025-09-11,Téléphone iPhone 13,20,950,19000,Téléphonie,Camara Ousmane
V00198,2025-02-26,Ordinateur Portable HP,13,750,9750,Informatique,Camara Ousmane
V00199,2025-11-08,Ordinateur Portable Dell,7,880,6160,Informatique,Diallo Ibrahima
V00200,2025-05-14,Casque Bluetooth JBL,2,45,90,Audio,Bah Mariama
V00201,2025-07-19,Câble HDMI 2m,13,5,65,Accessoires,Sow Mamadou
V00202,2025-09-02,Écran Dell 24’’,2,190,380,Informatique,Sow Mamadou
V00203,2025-05-26,Câble HDMI 2m,7,5,35,Accessoires,Sow Mamadou
V00204,2025-08-02,Ordinateur Portable Dell,13,880,11440,Informatique,Barry Fatou
V00205,2025-06-21,Ordinateur Portable HP,14,750,10500,Informatique,Bah Mariama
V00206,2025-10-04,Casque Bluetooth JBL,4,45,180,Audio,Camara Ousmane
V00207,2025-01-03,Disque SSD 512 Go,4,120,480,Stockage,Sow Mamadou
V00208,2025-03-18,Disque SSD 512 Go,8,120,960,Stockage,Diallo Ibrahima
V00209,2025-08-10,Souris Gamer Logitech G502,3,60,180,Accessoires,Sow Mamadou
V00210,2025-09-09,Clé USB 32 Go SanDisk,8,8,64,Accessoires,Bah Mariama
V00211,2025-08-27,Souris Gamer Logitech G502,13,60,780,Accessoires,Bah Mariama
V00212,2025-04-07,Disque SSD 512 Go,3,120,360,Stockage,Barry Fatou
V00213,2025-10-29,Clé USB 32 Go SanDisk,20,8,160,Accessoires,Bah Mariama
V00214,2025-05-19,Clé USB 32 Go SanDisk,15,8,120,Accessoires,Diallo Ibrahima
V00215,2025-10-24,Téléphone iPhone 13,19,950,18050,Téléphonie,Camara Ousmane
V00216,2025-06-11,Haut-parleur JBL Go 3,6,40,240,Audio,Barry Fatou
V00217,2025-08-03,Câble HDMI 2m,2,5,10,Accessoires,Barry Fatou
V00218,2025-03-30,Écran Dell 24’’,7,190,1330,Informatique,Diallo Ibrahima
V00219,2025-09-03,Clavier mécanique Redragon,5,60,300,Accessoires,Camara Ousmane
V00220,2025-03-04,Disque Dur Externe 1To,15,75,1125,Stockage,Camara Ousmane
V00221,2025-02-24,Imprimante Epson EcoTank,20,160,3200,Informatique,Diallo Ibrahima
V00222,2025-11-08,Clavier mécanique Redragon,2,60,120,Accessoires,Camara Ousmane
V00223,2025-07-28,Imprimante Epson EcoTank,3,160,480,Informatique,Diallo Ibrahima
V00224,2025-02-20,Imprimante Canon Pixma,3,120,360,Informatique,Diallo Ibrahima
V00225,2025-06-30,Imprimante Epson EcoTank,7,160,1120,Informatique,Diallo Ibrahima
V00226,2025-05-21,Câble HDMI 2m,12,5,60,Accessoires,Sow Mamadou
V00227,2025-03-20,Clé USB 64 Go Kingston,16,12,192,Accessoires,Sow Mamadou
V00228,2025-06-03,Ordinateur Portable HP,2,750,1500,Informatique,Camara Ousmane
V00229,2025-01-12,Casque Bluetooth JBL,4,45,180,Audio,Camara Ousmane
V00230,2025-05-19,Disque Dur Externe 1To,5,75,375,Stockage,Barry Fatou
V00231,2025-09-19,Souris Gamer Logitech G502,20,60,1200,Accessoires,Sow Mamadou
V00232,2025-08-08,Haut-parleur JBL Go 3,17,40,680,Audio,Camara Ousmane
V00233,2025-05-28,Casque Sony WH-CH510,2,55,110,Audio,Bah Mariama
V00234,2025-03-03,Câble HDMI 2m,7,5,35,Accessoires,Barry Fatou
V00235,2025-07-14,Casque Sony WH-CH510,5,55,275,Audio,Camara Ousmane
V00236,2025-05-27,Souris Logitech M185,18,15,270,Accessoires,Sow Mamadou
V00237,2025-09-06,Ordinateur Portable HP,14,750,10500,Informatique,Bah Mariama
V00238,2025-09-02,Souris Gamer Logitech G502,15,60,900,Accessoires,Diallo Ibrahima
V00239,2025-01-30,Ordinateur Portable HP,18,750,13500,Informatique,Diallo Ibrahima
V00240,2025-04-28,Haut-parleur Bluetooth,18,30,540,Audio,Diallo Ibrahima
V00241,2025-06-10,Casque Sony WH-CH510,12,55,660,Audio,Camara Ousmane
V00242,2025-04-27,Clé USB 32 Go SanDisk,10,8,80,Accessoires,Sow Mamadou
V00243,2025-07-14,Câble HDMI 2m,4,5,20,Accessoires,Barry Fatou
V00244,2025-01-18,Souris Gamer Logitech G502,9,60,540,Accessoires,Sow Mamadou
V00245,2025-01-24,Ordinateur Portable HP,5,750,3750,Informatique,Bah Mariama
V00246,2025-08-19,Clé USB 64 Go Kingston,8,12,96,Accessoires,Camara Ousmane
V00247,2025-05-07,Ordinateur Portable HP,18,750,13500,Informatique,Camara Ousmane
V00248,2025-05-04,Imprimante Canon Pixma,2,120,240,Informatique,Bah Mariama
V00249,2025-08-06,Clé USB 32 Go SanDisk,17,8,136,Accessoires,Barry Fatou
V00250,2025-07-09,Téléphone iPhone 13,3,950,2850,Téléphonie,Sow Mamadou
V00251,2025-01-31,Haut-parleur Bluetooth,5,30,150,Audio,Barry Fatou
V00252,2025-01-12,Haut-parleur JBL Go 3,10,40,400,Audio,Diallo Ibrahima
V00253,2025-11-03,Téléphone iPhone 13,11,950,10450,Téléphonie,Barry Fatou
V00254,2025-07-03,Ordinateur Portable Dell,1,880,880,Informatique,Camara Ousmane
V00255,2025-07-18,Souris Gamer Logitech G502,19,60,1140,Accessoires,Bah Mariama
V00256,2025-04-06,Haut-parleur JBL Go 3,19,40,760,Audio,Diallo Ibrahima
V00257,2025-06-20,Souris Logitech M185,14,15,210,Accessoires,Sow Mamadou
V00258,2025-09-03,Casque Bluetooth JBL,16,45,720,Audio,Barry Fatou
V00259,2025-08-05,Disque SSD 512 Go,20,120,2400,Stockage,Bah Mariama
V00260,2025-10-05,Téléphone Samsung A15,13,210,2730,Téléphonie,Barry Fatou
V00261,2025-02-19,Écran Dell 24’’,3,190,570,Informatique,Bah Mariama
V00262,2025-09-24,Souris Logitech M185,1,15,15,Accessoires,Sow Mamadou
V00263,2025-04-11,Clavier mécanique Redragon,13,60,780,Accessoires,Camara Ousmane
V00264,2025-11-08,Disque Dur Externe 1To,3,75,225,Stockage,Barry Fatou
V00265,2025-09-01,Clavier mécanique Redragon,14,60,840,Accessoires,Barry Fatou
V00266,2025-06-07,Clavier mécanique Redragon,5,60,300,Accessoires,Sow Mamadou
V00267,2025-03-13,Disque Dur Externe 1To,16,75,1200,Stockage,Bah Mariama
V00268,2025-03-30,Imprimante Epson EcoTank,20,160,3200,Informatique,Bah Mariama
V00269,2025-11-07,Ordinateur Portable Dell,13,880,11440,Informatique,Diallo Ibrahima
V00270,2025-03-22,Câble HDMI 2m,18,5,90,Accessoires,Diallo Ibrahima
V00271,2025-08-15,Ordinateur Lenovo ThinkPad,11,970,10670,Informatique,Sow Mamadou
V00272,2025-08-26,Clavier mécanique Redragon,6,60,360,Accessoires,Sow Mamadou
V00273,2025-06-12,Haut-parleur JBL Go 3,2,40,80,Audio,Sow Mamadou
V00274,2025-03-15,Téléphone iPhone 13,12,950,11400,Téléphonie,Diallo Ibrahima
V00275,2025-03-16,Ordinateur Lenovo ThinkPad,19,970,18430,Informatique,Barry Fatou
V00276,2025-02-13,Souris Logitech M185,7,15,105,Accessoires,Camara Ousmane
V00277,2025-11-09,Souris Logitech M185,12,15,180,Accessoires,Barry Fatou
V00278,2025-02-04,Casque Bluetooth JBL,14,45,630,Audio,Camara Ousmane
V00279,2025-06-05,Souris Logitech M185,1,15,15,Accessoires,Camara Ousmane
V00280,2025-01-30,Ordinateur Lenovo ThinkPad,6,970,5820,Informatique,Diallo Ibrahima
V00281,2025-04-27,Disque SSD 512 Go,4,120,480,Stockage,Barry Fatou
V00282,2025-08-08,Ordinateur Lenovo ThinkPad,17,970,16490,Informatique,Bah Mariama
V00283,2025-01-05,Ordinateur Portable Dell,15,880,13200,Informatique,Camara Ousmane
V00284,2025-01-19,Clavier mécanique Redragon,5,60,300,Accessoires,Sow Mamadou
V00285,2025-05-16,Disque SSD 512 Go,10,120,1200,Stockage,Bah Mariama
V00286,2025-09-06,Téléphone iPhone 13,11,950,10450,Téléphonie,Camara Ousmane
V00287,2025-03-21,Disque Dur Externe 1To,2,75,150,Stockage,Sow Mamadou
V00288,2025-08-13,Souris Gamer Logitech G502,15,60,900,Accessoires,Bah Mariama
V00289,2025-01-01,Haut-parleur Bluetooth,13,30,390,Audio,Camara Ousmane
V00290,2025-05-14,Ordinateur Portable Dell,6,880,5280,Informatique,Camara Ousmane
V00291,2025-02-01,Ordinateur Lenovo ThinkPad,7,970,6790,Informatique,Bah Mariama
V00292,2025-05-06,Casque Sony WH-CH510,3,55,165,Audio,Camara Ousmane
V00293,2025-03-23,Ordinateur Portable HP,15,750,11250,Informatique,Barry Fatou
V00294,2025-06-21,Haut-parleur JBL Go 3,8,40,320,Audio,Camara Ousmane
V00295,2025-05-21,Souris Gamer Logitech G502,10,60,600,Accessoires,Bah Mariama
V00296,2025-11-03,Ordinateur Portable HP,6,750,4500,Informatique,Barry Fatou
V00297,2025-07-21,Disque SSD 512 Go,18,120,2160,Stockage,Diallo Ibrahima
V00298,2025-03-10,Ordinateur Lenovo ThinkPad,15,970,14550,Informatique,Diallo Ibrahima
V00299,2025-10-02,Souris Gamer Logitech G502,7,60,420,Accessoires,Barry Fatou
V00300,2025-05-30,Casque Sony WH-CH510,6,55,330,Audio,Diallo Ibrahima
V00301,2025-03-24,Casque Bluetooth JBL,12,45,540,Audio,Sow Mamadou
V00302,2025-07-02,Clé USB 32 Go SanDisk,16,8,128,Accessoires,Sow Mamadou
V00303,2025-05-02,Haut-parleur JBL Go 3,9,40,360,Audio,Sow Mamadou
V00304,2025-10-22,Câble HDMI 2m,19,5,95,Accessoires,Barry Fatou
V00305,2025-04-02,Ordinateur Portable Dell,9,880,7920,Informatique,Sow Mamadou
V00306,2025-07-31,Téléphone iPhone 13,3,950,2850,Téléphonie,Camara Ousmane
V00307,2025-08-12,Casque Sony WH-CH510,18,55,990,Audio,Bah Mariama
V00308,2025-04-29,Disque SSD 512 Go,1,120,120,Stockage,Bah Mariama
V00309,2025-09-15,Clavier mécanique Redragon,6,60,360,Accessoires,Barry Fatou
V00310,2025-06-12,Téléphone iPhone 13,15,950,14250,Téléphonie,Sow Mamadou
